database,pages_ id,Region,Site_name,Lat_N,Long_E,Archive,Proxy_ measurement,Oldest_year,Youngest_year,Time_Units,Original_Author,Original_data_URL,database_link
Global_2017,10348,NaN,CHIN040,28.03,98.98,tree,TRW,1393,2005,(CE),"Fan et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN040.Fan.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10349,NaN,CHIN039,28.03,99.02,tree,TRW,1489,2005,(CE),"Fan et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN039.Fan.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10350,NaN,CHIN038,27.58,99.28,tree,TRW,1542,2005,(CE),"Fan et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN038.Fan.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10351,NaN,CHIN037,27.58,99.35,tree,TRW,1429,2005,(CE),"Fan et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN037.Fan.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10352,NaN,MQACJP,35.07,100.35,tree,TRW,1082,2001,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-MQACJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10353,NaN,HYGJUP,38.7,99.68,tree,TRW,540,2006,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HYGJUP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10354,NaN,CHIN026,27.62,99.8,tree,TRW,1516,2007,(CE),"Wright et al., (2010)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN026.Wright.2010.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10355,NaN,DQHZHO,35,100.07,tree,TRW,1433,2004,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-DQHZHO.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10356,NaN,HXBURU,43.18,87.18,tree,TRW,1543,1993,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HXBURU.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10357,NaN,CHIN027,27.33,99.3,tree,TRW,1348,2007,(CE),"Wright et al., (2010)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-WEXYUN.Wright.2010.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10358,NaN,PTCYUN,27.37,99.37,tree,TRW,1498,2007,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-PTCYUN.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10359,NaN,CHIN016,31.78,101.92,tree,TRW,1575,2007,(CE),"Li et al., (2010)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN016.Li.2010.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10360,NaN,CHIN017,28.9,99.75,tree,TRW,1452,2007,(CE),"Li et al., (2010)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN017.Li.2010.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10361,NaN,ZHANGX,34.63,104.47,tree,TRW,1568,2006,(CE),"PAGES2k et al., (2010)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-ZHANGX.PAGES2k.2010.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10362,NaN,ZHIDJP,33.72,96.28,tree,TRW,1374,2002,(CE),"Shao et al., (2003)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-ZHIDJP.Shao.2003.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10363,NaN,QUMAJP,33.8,96.13,tree,TRW,1480,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-QUMAJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10364,NaN,WULANJ,37.03,98.68,tree,TRW,150,2000,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-WULANJ.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10365,NaN,TIANMU,30.33,119.43,tree,TRW,1590,2007,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-TIANMU.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10366,NaN,CHIN029,43.85,93.3,tree,TRW,1571,2002,(CE),"Krusic et al., (2010)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN029.Krusic.2010.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10367,NaN,SANGTS,33.65,107.8,tree,TRW,1575,1992,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-SANGTS.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10368,NaN,CHIN004,34.48,110.08,tree,TRW,1540,1990,(CE),"Wu et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN004.Wu.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10369,NaN,BARELC,33.75,107.8,tree,TRW,1600,1992,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-BARELC.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10370,NaN,HBHXJP,34.78,100.82,tree,TRW,1500,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HBHXJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10371,NaN,HBMXJP,34.78,100.82,tree,TRW,1310,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HBMXJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10372,NaN,HBLXJP,34.78,100.82,tree,TRW,1520,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HBLXJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10373,NaN,TDBXJP,34.78,100.82,tree,TRW,1400,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-TDBXJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10374,NaN,TDAXJP,34.78,100.8,tree,TRW,1340,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-TDAXJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10375,NaN,MQRXJP,34.75,99.68,tree,TRW,960,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-MQRXJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10376,NaN,MQFXJP,34.75,99.68,tree,TRW,1230,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-MQFXJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10377,NaN,MQDXJP,34.72,99.67,tree,TRW,1163,2001,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-MQDXJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
Global_2017,10378,NaN,MQBXJP,34.78,99.78,tree,TRW,470,2002,(CE),"PAGES2k et al., (2013)",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-MQBXJP.PAGES2k.2013.txt,https://www.ncei.noaa.gov/access/paleo-search/study/21171
